url,title,status,proposed_destination,action
https://painmgmtgroup.com/pain-education/opioids-and-chronic-pain-management/,Opioids and Chronic Pain Management – Pain Management Group,200,/pain-education/opioids-and-chronic-pain-management/,keep
https://painmgmtgroup.com/pain-education/post-laminectomy-syndrome/,Post-Laminectomy Syndrome – Pain Management Group,200,/pain-education/post-laminectomy-syndrome/,keep
https://painmgmtgroup.com/pain-education/radiofrequency-ablation-rfa-for-pain/,Radiofrequency Ablation (RFA) for Pain – Pain Management Group,200,/pain-education/radiofrequency-ablation-rfa-for-pain/,keep
https://painmgmtgroup.com/pain-education/radiofrequency-neurotomy-of-the-lumbar-facets/,Radiofrequency Neurotomy of the Lumbar Facets – Pain Management Group,200,/pain-education/radiofrequency-neurotomy-of-the-lumbar-facets/,keep
https://painmgmtgroup.com/pain-education/radiofrequency-neurotomy-of-the-thoracic-facets/,Radiofrequency Neurotomy of the Thoracic Facets – Pain Management Group,200,/pain-education/radiofrequency-neurotomy-of-the-thoracic-facets/,keep
https://painmgmtgroup.com/pain-education/sacroiliac-joint-steroid-injection/,Sacroiliac Joint Steroid Injection – Pain Management Group,200,/pain-education/sacroiliac-joint-steroid-injection/,keep
https://painmgmtgroup.com/pain-education/side-effects-of-long-term-opioid-use/,Side Effects of Long-Term Opioid Use – Pain Management Group,200,/pain-education/side-effects-of-long-term-opioid-use/,keep
https://painmgmtgroup.com/pain-education/soft-tissue-injection/,Steroid Injection for Shoulder Bursitis – Pain Management Group,200,/pain-education/soft-tissue-injection/,keep
https://painmgmtgroup.com/pain-education/spinal-cord-stimulator-implant-trial-procedure/,Spinal Cord Stimulator Implant (Trial Procedure) – Pain Management Group,200,/pain-education/spinal-cord-stimulator-implant-trial-procedure/,keep
https://painmgmtgroup.com/pain-education/spinal-cord-stimulator-implant/,Spinal Cord Stimulator Implant – Pain Management Group,200,/pain-education/spinal-cord-stimulator-implant/,keep
https://painmgmtgroup.com/pain-education/spinal-stenosis/,Spinal Stenosis – Pain Management Group,200,/pain-education/spinal-stenosis/,keep
https://painmgmtgroup.com/pain-education/spondylosis/,Spondylosis – Pain Management Group,200,/pain-education/spondylosis/,keep
https://painmgmtgroup.com/pain-education/stellate-ganglion-block/,Stellate Ganglion Block – Pain Management Group,200,/pain-education/stellate-ganglion-block/,keep
https://painmgmtgroup.com/pain-education/superion-interspinous-spacer-vertiflex/,Superion® InterSpinous Spacer (Vertiflex) – Pain Management Group,200,/pain-education/superion-interspinous-spacer-vertiflex/,keep
